RA,DEC,F336W-F475W_RAW,F475W-F814W_RAW,F475W_RAW,F336W-F475W,F475W-F814W,F475W,A(F475W),Z
10.8122302221,41.2669880395,-0.201,0.979,23.074,-1.11551213123,-0.271789750916,-3.37647574668,2.05047515159,nan
10.8299356187,41.2697400809,-0.678999,0.289999,22.185,-1.08368623154,-0.263497053441,-3.12237112688,0.907370592819,nan
10.8165181795,41.2805242463,-0.594,0.198,22.154,-0.898998444172,-0.219150572044,-2.92985399314,0.683853321751,nan
10.8007544752,41.2599493766,-1.005,0.295,22.358,-1.51614427981,-0.404099750204,-3.18806548771,1.14606528934,nan
10.8214099235,41.2568974832,-1.295,0.150002,22.214,-1.80446815106,-0.546804585353,-3.32830439848,1.14230510038,nan
10.829399546,41.2712396374,-0.0100002,0.939001,22.704,-0.848480842614,-0.207799756036,-3.57600090306,1.88000137608,nan
10.7960860217,41.2584188959,-0.549,0.452999,22.299,-1.07037854583,-0.260097394576,-3.27001088504,1.16901067142,nan
10.7927493535,41.2578851833,-0.932001,0.0600014,22.169,-1.18938037471,-0.292019588814,-2.80808291882,0.577083544435,nan
10.8249335186,41.2784505593,-0.6,0.355,22.358,-1.04507619153,-0.253736431169,-3.03992802362,0.997927825254,nan
10.8475745291,41.2618248962,-0.0200005,1.545,23.455,-1.41676930888,-0.36537884564,-4.07676880078,3.13176872448,nan
10.7987519737,41.2635218703,-0.517,0.275,22.296,-0.874203515086,-0.213552002996,-2.90490477061,0.800904297583,nan
10.8045684627,41.2576903495,-0.771,0.171,22.295,-1.0898401038,-0.265082354559,-2.81988825409,0.714888330387,nan
10.8102994341,41.2695118449,-1.051,0.311001,22.635,-1.60080759997,-0.440977366559,-2.99775090314,1.23275113202,nan
10.8032798064,41.2722379721,-0.0979996,1.39,23.52,-1.36898196569,-0.348337850286,-3.72973584926,2.84973630702,nan
10.8214760972,41.2631721152,-0.397001,1.19,23.304,-1.58386716405,-0.43329138863,-3.757133445,2.66113429949,nan
